epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
129,9175.85,1.18602,0.60542,0.00404,0.9154,0.80976,0.88126,0.59476,1.14967,0.60595,0.00588,0.0003104,0.0003104,0.0003104
130,9206.11,1.18926,0.59897,0.00404,0.91086,0.81702,0.8846,0.59396,1.14787,0.60603,0.00591,0.0002972,0.0002972,0.0002972
131,9236.2,1.15668,0.57462,0.00398,0.90875,0.81896,0.88162,0.59543,1.14623,0.59958,0.00595,0.000284,0.000284,0.000284
132,9265.76,1.18428,0.59431,0.00405,0.90751,0.82936,0.88606,0.59453,1.15301,0.59118,0.00594,0.0002708,0.0002708,0.0002708
133,9297.01,1.17361,0.59235,0.00393,0.91198,0.81802,0.8817,0.59456,1.14356,0.59876,0.00585,0.0002576,0.0002576,0.0002576
134,9327.19,1.16841,0.58431,0.004,0.91216,0.82412,0.88189,0.59431,1.14333,0.60367,0.00584,0.0002444,0.0002444,0.0002444
135,9357.79,1.19211,0.58904,0.00405,0.91868,0.8199,0.88438,0.59395,1.14757,0.59702,0.00582,0.0002312,0.0002312,0.0002312
136,9388.01,1.16967,0.58755,0.00395,0.91769,0.82484,0.88653,0.59651,1.14019,0.60016,0.00578,0.000218,0.000218,0.000218
137,9418.28,1.17026,0.57219,0.00402,0.91589,0.82381,0.88478,0.59693,1.1435,0.59441,0.00585,0.0002048,0.0002048,0.0002048
138,9448.38,1.18192,0.58657,0.00389,0.91369,0.82266,0.88494,0.59701,1.13913,0.59281,0.0058,0.0001916,0.0001916,0.0001916
139,9572.7,1.16276,0.58498,0.00397,0.92372,0.82654,0.88861,0.59762,1.13598,0.60352,0.00577,0.0001784,0.0001784,0.0001784
140,9603.58,1.16805,0.59359,0.00394,0.92162,0.81714,0.88096,0.59558,1.14081,0.59773,0.00581,0.0001652,0.0001652,0.0001652
141,9651.87,1.14556,0.51828,0.00445,0.88634,0.83141,0.87628,0.58942,1.16367,0.60743,0.006,0.000152,0.000152,0.000152
142,9682.85,1.11959,0.49778,0.00431,0.90321,0.82278,0.88115,0.59284,1.15394,0.59616,0.00598,0.0001388,0.0001388,0.0001388
143,9712.4,1.11011,0.48433,0.0042,0.90595,0.81908,0.87963,0.59477,1.15306,0.60162,0.00593,0.0001256,0.0001256,0.0001256
144,9745.26,1.11389,0.48825,0.00435,0.90796,0.82337,0.87982,0.5929,1.14963,0.60708,0.00596,0.0001124,0.0001124,0.0001124
145,9775.68,1.11174,0.48412,0.00422,0.8979,0.8273,0.88065,0.59426,1.14965,0.60173,0.00593,9.92e-05,9.92e-05,9.92e-05
146,9806.07,1.09413,0.47026,0.00427,0.89548,0.82791,0.87893,0.59583,1.14179,0.61558,0.00585,8.6e-05,8.6e-05,8.6e-05
147,9853.13,1.09204,0.47701,0.00418,0.90299,0.82689,0.88199,0.59639,1.14217,0.60295,0.00584,7.28e-05,7.28e-05,7.28e-05
148,9882.79,1.09804,0.48385,0.00423,0.90756,0.82762,0.88277,0.59667,1.14169,0.59604,0.00588,5.96e-05,5.96e-05,5.96e-05
149,9912.39,1.1004,0.47946,0.00414,0.91519,0.82278,0.88328,0.597,1.14403,0.59297,0.00587,4.64e-05,4.64e-05,4.64e-05
150,9941.82,1.08031,0.47232,0.00418,0.90522,0.82771,0.88444,0.59748,1.14346,0.59527,0.00587,3.32e-05,3.32e-05,3.32e-05
